Resort name,Country,Highest point,Lowest point,Child friendly,Ski pass price adult,Season,Ski map,User rating
​Les Menuires (Les 3 Vallées),France,3.23,1.11,Yes,61,November - May,Ski map,
Østerlars (Bornholm),Denmark,110,72,Yes,18,no report,Ski map,
Åre,Sweden,1.274,380,Yes,45,November - May,Ski map,
Zürs (Ski Arlberg),Austria,2.811,1.27,Yes,53,December - April,Ski map,
Zugspitze,Germany,2,700,Yes,45,depending on snow conditions - May,Ski map,
Zillertal Arena-Zell am Ziller-​Gerlos-​Königsleiten-​Hochkrimml,Austria,2.5,580,Yes,52,December - April,Ski map,
Zermatt - Matterhorn,Switzerland,3.899,1.562,Yes,81,Year-round,Ski map,
Zell am See,Austria,2,760,Yes,50,December - April,Ski map,
Zauchensee,Austria,2.188,1,Yes,52,depending on snow conditions - April,Ski map,
Ylläs,Finland,718,200,Yes,42,November - May,Ski map,
Wurzeralm-Spital am Pyhrn,Austria,1.87,810,Yes,41,December - April,Ski map,
Wispile (Gstaad),Switzerland,1.941,1.046,Yes,54,December - March,Ski map,
Wildkogel-Neukirchen-​Bramberg,Austria,2.15,820,Yes,44,December - April,Ski map,
Wetterstein lifts-Wettersteinbahnen-– Ehrwald,Austria,1.53,1,Yes,43,December - March,Ski map,
Westendorf (SkiWelt Wilder Kaiser-Brixental),Austria,1.957,620,Yes,49,December - April,Ski map,
Wendelstein-Brannenburg-​Osterhofen,Germany,1.723,791,Yes,35,December - March,Ski map,
Wasserngrat (Gstaad),Switzerland,1.9,1.275,Yes,54,December - March,Ski map,
Wagrain (Ski amedé),Austria,1.98,740,Yes,52,November - April,Ski map,
Voss,Norway,960,284,Yes,43,November - May,Ski map,
Vitosha-Sofia,Bulgaria,2.29,726,Yes,18,December - April,Ski map,
Villars -​ Gryon / Les Diablerets,Switzerland,2.12,1.224,Yes,54,December - April,Ski map,
Verbier (4 Vallées),Switzerland,3.33,821,Yes,66,December - April,Ski map,
Vars-​Risoul-La Forêt Blanche,France,2.75,1.65,Yes,39,December - April,Ski map,
Vall de Núria,Spain,1.964,912,Yes,30,no report,Ski map,
Valfréjus,France,2.737,1.55,Yes,29,December - April,Ski map,
Valchiavenna – Madesimo/​Campodolcino,Italy,1.55,1.082,Yes,39,November - April,Ski map,
Valberg-​Beuil les Launes,France,2.02,1.412,Yes,32,December - April,Ski map,
Val Thorens (Les 3 Vallées),France,3.23,1.11,Yes,61,November - May,Ski map,
Val Senales Glacier,Italy,3.212,2.011,Yes,44,October - May,Ski map,
Val Gardena,Italy,2.518,1.236,Yes,54,December - April,Ski map,
Val Cenis-Lanslevillard-​Lanslebourg-​Termignon,France,2.8,1.3,Yes,36,December - April,Ski map,
Unternberg-Ruhpolding-,Germany,1.417,710,Yes,20,December - March,Ski map,
Turracher Höhe,Austria,2.205,1.4,Yes,45,November - May,Ski map,
Trysil,Norway,1.1,415,Yes,46,October - May,Ski map,
Torrent-Leukerbad,Switzerland,2.61,1.411,Yes,46,December - April,Ski map,
Toggenburg-Wildhaus-​Unterwasser-​Alt St. Johann,Switzerland,2.262,900,Yes,52,December - April,Ski map,
